BJD - 2454833, Corrected Flux
2384.831662239, 0.998281292,
2384.852094822, 0.998174834,
2384.913392265, 0.997976579,
2384.933824745, 0.997956346,
2384.954257325, 0.997836391,
2384.974689704, 0.997748492,
2384.995122182, 0.997505706,
2385.015554761, 0.997465669,
2385.035987238, 0.997160909,
2385.056419615, 0.997281690,
2385.076852191, 0.997009273,
2385.097284667, 0.996999777,
2385.117717142, 0.997021666,
2385.138149617, 0.996884444,
2385.158582091, 0.996751430,
2385.179014565, 0.996532289,
2385.199447038, 0.996535204,
2385.219879511, 0.996555851,
2385.240311984, 0.996155318,
2385.260744455, 0.996233123,
2385.281176926, 0.996247713,
2385.301609397, 0.996107913,
2385.322041867, 0.996042975,
2385.342474437, 0.995932546,
2385.362906806, 0.995923894,
2385.383339274, 0.995702860,
2385.403771842, 0.995764257,
2385.424204210, 0.995594076,
2385.444636677, 0.995546109,
2385.465069243, 0.995549534,
2385.485501609, 0.995432205,
2385.505934074, 0.995391645,
2385.526366639, 0.995507370,
2385.546799004, 0.995227069,
2385.567231568, 0.995738008,
2385.587664031, 0.994967376,
2385.608096493, 0.995084074,
2385.628528956, 0.995109244,
2385.648961418, 0.994972428,
2385.669393879, 0.994900186,
2385.689826339, 0.994916780,
2385.710258800, 0.994794631,
2385.730691259, 0.994829323,
2385.751123818, 0.994758370,
2385.771556177, 0.994679166,
2385.791988735, 0.994703943,
2385.812421193, 0.994934574,
2385.832853549, 0.996963658,
2385.853286106, 0.994570664,
2385.873718562, 0.994463399,
2385.894150917, 0.994428622,
2385.914583472, 0.994781168,
2385.935015927, 0.994457144,
2385.955448281, 0.994555112,
2385.975880834, 0.994445113,
2385.996313187, 0.994396264,
2386.016745640, 0.994438908,
2386.037178191, 0.994256493,
2386.057610543, 0.994084593,
2386.078043093, 1.009838695,
2386.098475544, 1.014315648,
2386.139340443, 0.994017881,
2386.159772891, 0.994003334,
2386.180205340, 0.994177435,
2386.200637787, 0.994008630,
2386.221070234, 0.994246834,
2386.241502681, 0.994200214,
2386.261935227, 0.994159996,
2386.282367573, 0.993947488,
2386.302800018, 0.994128820,
2386.323232562, 0.994128592,
2386.343664906, 0.993819075,
2386.384529893, 0.993808275,
2386.404962235, 0.993755667,
2386.425394777, 0.993770235,
2386.445827219, 0.993811427,
2386.466259560, 0.993886931,
2386.486692100, 0.993961194,
2386.507124540, 0.993975009,
2386.527556879, 0.993711508,
2386.547989418, 0.993794283,
2386.568421857, 0.993888001,
2386.588854294, 0.993715972,
2386.609286732, 0.993644788,
2386.629719168, 0.993655227,
2386.650151705, 0.993464978,
2386.670584041, 0.993312942,
2386.691016476, 0.993642060,
2386.711448910, 0.993709217,
2386.731881345, 0.993735377,
2386.752313778, 0.993697015,
2386.772746212, 0.993636905,
2386.793178644, 0.993872002,
2386.813611077, 0.993507771,
2386.834043608, 0.993555645,
2386.854475939, 0.993604812,
2386.874908370, 0.993453290,
2386.895340900, 0.993597274,
2386.915773230, 0.993390736,
2386.936205659, 0.993297177,
2386.956638187, 0.993299662,
2386.977070515, 0.993365486,
2386.997503043, 0.993372036,
2387.017935470, 0.993540950,
2387.038367796, 0.993474487,
2387.058800322, 0.993473384,
2387.079232748, 0.993252438,
2387.099665173, 0.993438242,
2387.120097597, 0.993477713,
2387.140530021, 0.993364568,
2387.160962444, 0.993313301,
2387.181394867, 0.993545596,
2387.201827290, 0.993391689,
2387.222259712, 0.993304069,
2387.242692233, 0.993316627,
2387.263124554, 0.993171673,
2387.283556974, 0.993292537,
2387.303989494, 0.993125157,
2387.324421813, 0.993299442,
2387.344854332, 0.993329744,
2387.365286751, 0.993441417,
2387.385719068, 0.993219191,
2387.406151585, 0.993349678,
2387.426583902, 0.993388293,
2387.447016319, 0.993225489,
2387.467448834, 0.993060520,
2387.487881150, 0.993070300,
2387.508313564, 0.993053835,
2387.528746079, 0.993074568,
2387.549178392, 0.993259221,
2387.610475630, 0.993213018,
2387.630908042, 0.993025608,
2387.651340553, 0.993324012,
2387.671772964, 0.993098954,
2387.692205374, 0.993196398,
2387.712637783, 0.992957307,
2387.733070193, 0.993071560,
2387.753502701, 0.993077908,
2387.773935009, 0.993174024,
2387.794367417, 0.992978881,
2387.814799924, 0.992962527,
2387.835232231, 0.993085492,
2387.855664637, 0.993124958,
2387.876097142, 0.993012773,
2387.896529447, 0.992803103,
2387.916961852, 0.993018436,
2387.937394356, 0.993155078,
2387.957826659, 0.992903594,
2387.978259062, 0.993208354,
2387.998691565, 0.993183820,
2388.019123867, 0.993206742,
2388.039556368, 0.993195473,
2388.059988769, 0.992969323,
2388.080421170, 0.993314819,
2388.100853570, 0.993014378,
